"type","location_code","identity","name"
"WARD","00967",2011537,"Xã Việt Lâm"
"WARD","00970",2011535,"Xã Ngọc Linh"
"WARD","00973",2011539,"Xã Ngọc Minh"
"WARD","00976",2011545,"Xã Bạch Ngọc"
"WARD","00979",2011541,"Xã Trung Thành"
"WARD","00982",2011103,"Xã Minh Sơn"
"WARD","00985",2011105,"Xã Giáp Trung"
"WARD","00988",2011109,"Xã Yên Định"
"WARD","00991",2011101,"Thị trấn Yên Phú"
"WARD","00994",2011115,"Xã Minh Ngọc"
"WARD","00997",2011107,"Xã Yên Phong"
"PROVINCE","01",101,"Hà Nội"
"WARD","01000",2011111,"Xã Lạc Nông"
"WARD","01003",2011113,"Xã Phú Nam"
"WARD","01006",2011119,"Xã Yên Cường"
"WARD","01009",2011117,"Xã Thượng Tân"
"WARD","01012",2011123,"Xã Đường Âm"
"WARD","01015",2011121,"Xã Đường Hồng"
"WARD","01018",2011125,"Xã Phiêng Luông"
"WARD","01021",2011301,"Thị trấn Vinh Quang"
"WARD","01024",2011303,"Xã Bản Máy"
"WARD","01027",2011305,"Xã Thàng Tín"
"WARD","01030",2011307,"Xã Thèn Chu Phìn"
"WARD","01033",2011315,"Xã Pố Lồ"
"WARD","01036",2011309,"Xã Bản Phùng"
"WARD","01039",2011317,"Xã Túng Sán"
"WARD","01042",2011311,"Xã Chiến Phố"
"WARD","01045",2011313,"Xã Đản Ván"
"WARD","01048",2011319,"Xã Tụ Nhân"
"WARD","01051",2011321,"Xã Tân Tiến"
"WARD","01054",2011329,"Xã Nàng Đôn"
"WARD","01057",2011323,"Xã Pờ Ly Ngài"
"WARD","01060",2011331,"Xã Sán Xả Hồ"
"WARD","01063",2011333,"Xã Bản Luốc"
"WARD","01066",2011325,"Xã Ngàm Đăng Vài"
"WARD","01069",2011327,"Xã Bản Nhùng"
"WARD","01072",2011335,"Xã Tả Sử Choóng"
"WARD","01075",2011339,"Xã Nậm Dịch"
"WARD","01078",2011337,"Xã Bản Péo"
"WARD","01081",2011341,"Xã Hồ Thầu"
"WARD","01084",2011343,"Xã Nam Sơn"
"WARD","01087",2011347,"Xã Nậm Tỵ"
"WARD","01090",2011345,"Xã Thông Nguyên"
"WARD","01093",2011349,"Xã Nậm Khòa"
"WARD","01096",2011701,"Thị trấn Cốc Pài"
"WARD","01099",2011703,"Xã Nàn Xỉn"
"WARD","01102",2011705,"Xã Bản Díu"
"WARD","01105",2011707,"Xã Chí Cà"
"WARD","01108",2011709,"Xã Xín Mần"
"WARD","01111",2011711,"Xã Trung Thịnh"
"WARD","01114",2011713,"Xã Thèn Phàng"
"WARD","01117",2011715,"Xã Ngán Chiên"
"WARD","01120",2011717,"Xã Pà Vầy Sủ"
"WARD","01123",2011719,"Xã Cốc Rế"
"WARD","01126",2011721,"Xã Thu Tà"
"WARD","01129",2011723,"Xã Nàn Ma"
"WARD","01132",2011725,"Xã Tả Nhìu"
"WARD","01135",2011727,"Xã Bản Ngò"
"WARD","01138",2011729,"Xã Chế Là"
"WARD","01141",2011731,"Xã Nấm Dẩn"
"WARD","01144",2011733,"Xã Quảng Nguyên"
"WARD","01147",2011735,"Xã Nà Chì"
"WARD","01150",2011737,"Xã Khuôn Lùng"
"WARD","01153",2011901,"Thị trấn Việt Quang"
"WARD","01156",2011903,"Thị trấn Vĩnh Tuy"
"WARD","01159",2011905,"Xã Tân Lập"
"WARD","01162",2011907,"Xã Tân Thành"
"WARD","01165",2011908,"Xã Đồng Tiến"
"WARD","01168",2011909,"Xã Đồng Tâm"
"WARD","01171",2011913,"Xã Tân Quang"
"WARD","01174",2011911,"Xã Thượng Bình"
"WARD","01177",2011925,"Xã Hữu Sản"
"WARD","01180",2011919,"Xã Kim Ngọc"
"WARD","01183",2011915,"Xã Việt Vinh"
"WARD","01186",2011917,"Xã Bằng Hành"
"WARD","01189",2011929,"Xã Quang Minh"
"WARD","01192",2011931,"Xã Liên Hiệp"
"WARD","01195",2011933,"Xã Vô Điếm"
"WARD","01198",2011935,"Xã Việt Hồng"
"WARD","01201",2011941,"Xã Hùng An"
"WARD","01204",2011943,"Xã Đức Xuân"
"WARD","01207",2011949,"Xã Tiên Kiều"
"WARD","01210",2011953,"Xã Vĩnh Hảo"
"WARD","01213",2011957,"Xã Vĩnh Phúc"
"WARD","01216",2011961,"Xã Đồng Yên"
"WARD","01219",2011962,"Xã Đông Thành"
"WARD","01222",2012031,"Xã Xuân Minh"
"WARD","01225",2012029,"Xã Tiên Nguyên"
"WARD","01228",2012025,"Xã Tân Nam"
"WARD","01231",2012021,"Xã Bản Rịa"
"WARD","01234",2012024,"Xã Yên Thành"
"WARD","01237",2012023,"Thị trấn Yên Bình"
"WARD","01240",2012027,"Xã Tân Trịnh"
"WARD","01243",2012028,"Xã Tân Bắc"
