code,zipcode,destcode
INDOJB_JB19_JB1904,45364,BDO20206
INDOJB_JB19_JB1905,45355,BDO20248
INDOJB_JB19_JB1906,45363,BDO20249
INDOJB_JB19_JB1907,45391,BDO20208
INDOJB_JB19_JB1908,45372,BDO20209
INDOJB_JB19_JB1909,45356,BDO20210
INDOJB_JB19_JB1910,45377,BDO20250
INDOJB_JB19_JB1911,45363,BDO20247
INDOJB_JB19_JB1912,45376,BDO20251
INDOJB_JB19_JB1913,45365,BDO20214
INDOJB_JB19_JB1914,45381,BDO20215
INDOJB_JB19_JB1915,45361,BDO20216
INDOJB_JB19_JB1916,45371,BDO20217
INDOJB_JB19_JB1917,45311,BDO20252
INDOJB_JB19_JB1918,45322,BDO20253
INDOJB_JB19_JB1919,45393,BDO20219
INDOJB_JB19_JB1920,45354,BDO20220
INDOJB_JB19_JB1921,45354,BDO20254
INDOJB_JB19_JB1922,45382,BDO20222
INDOJB_JB19_JB1923,45383,BDO20223
INDOJB_JB19_JB1924,45373,BDO20224
INDOJB_JB19_JB1925,45366,BDO20218
INDOJB_JB19_JB1926,45362,BDO20221
INDOJB_JB06_JB06,17146,BKI10040
INDOJB_JB06_JB0606,17122,BKI10042
INDOJB_JB06_JB0615,17432,BKI10044
INDOJB_JB06_JB0616,17424,BKI10043
INDOJB_JB06_JB0619,17143,BKI10045
INDOJB_JB06_JB0623,17411,BKI10047
INDOJB_JB06_JB0624,17414,BKI10048
INDOJB_JB06_JB0625,17116,BKI10049
INDOJB_JB06_JB0633,17212,BKI10122
INDOJB_JB06_JB0636,17134,BKI10039
INDOJB_JB06_JB0637,17610,BKI10123
INDOJB_JB06_JB0638,17112,BKI10041
INDOJB_JB06_JB0639,17146,BKI10040
INDOJB_JB06_JB0640,17152,BKI10002
INDOJB_JB07_JB07,16115,BOO10026
INDOJB_JB07_JB0701,16810,BOO20142
INDOJB_JB07_JB0702,16115,BOO10026
INDOJB_JB07_JB0703,16132,BOO10027
INDOJB_JB07_JB0704,16124,BOO10028
INDOJB_JB07_JB0705,16142,BOO10029
INDOJB_JB07_JB0706,16158,BOO10030
INDOJB_JB07_JB0707,16920,BOO20143
INDOJB_JB07_JB0708,16730,BOO20120
INDOJB_JB07_JB0710,16620,BOO20123
INDOJB_JB07_JB0711,16720,BOO20122
INDOJB_JB07_JB0712,16630,BOO20124
INDOJB_JB07_JB0713,16110,BOO20144
INDOJB_JB07_JB0714,16660,BOO20125
INDOJB_JB07_JB0715,16740,BOO20126
INDOJB_JB07_JB0717,16120,BOO20145
INDOJB_JB07_JB0718,16810,BOO20130
INDOJB_JB07_JB0719,16680,BOO20131
INDOJB_JB07_JB0722,16670,BOO20133
INDOJB_JB07_JB0724,16310,BOO20146
INDOJB_JB07_JB0726,16640,BOO20135
INDOJB_JB07_JB0727,16640,BOO20148
INDOJB_JB07_JB0728,16770,BOO20136
INDOJB_JB07_JB0729,16650,BOO20137
INDOJB_JB07_JB0730,16810,BOO20149
INDOJB_JB07_JB0731,16330,BOO20138
INDOJB_JB07_JB0733,16310,BOO20150
INDOJB_JB07_JB0734,16350,BOO20140
INDOJB_JB07_JB0735,16660,BOO20151
INDOJB_JB07_JB0736,16830,BOO20152
INDOJB_JB07_JB0737,16320,BOO20154
INDOJB_JB07_JB0738,16164,BOO10031
INDOJB_JB07_JB0740,16370,BOO20157
INDOJB_JB07_JB0741,16912,BOO20100
INDOJB_JB07_JB0742,16610,BOO20128
INDOJB_JB07_JB0743,16750,BOO20129
INDOJB_JB07_JB0744,16710,BOO20153
INDOJB_JB07_JB0745,16610,BOO20155
INDOJB_JB01_JB01,45215,CBN20100
INDOJB_JB01_JB0101,45256,CBN20101
INDOJB_JB01_JB0102,45365,CBN20121
